year,duration,avg_vote,votes,metascore,reviews_from_users,reviews_from_critics,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
2001,104,6.7,4151,49.0,68.0,44.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,87,4.7,41189,49.0,81.0,91.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2001,119,6.8,2467,69.0,20.0,48.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2001,108,6.4,6375,49.0,61.0,68.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,82,6.6,9253,43.0,39.0,38.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2001,89,6.0,288,26.0,7.0,9.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
2001,116,7.7,504464,74.0,945.0,210.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,87,4.6,45503,13.0,681.0,87.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,92,6.9,1534,71.0,29.0,34.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,113,6.3,47934,38.0,253.0,116.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2001,114,7.3,23058,77.0,212.0,140.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,106,6.6,4040,57.0,74.0,43.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,103,6.3,1281,40.0,25.0,41.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,121,7.2,18417,84.0,206.0,54.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2001,152,7.6,625097,64.0,1754.0,268.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2001,95,5.0,12492,21.0,87.0,86.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,111,6.0,624,49.0,28.0,27.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,104,6.5,2763,54.0,35.0,28.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2001,114,6.3,7666,63.0,128.0,110.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,95,5.3,2360,37.0,15.0,16.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,136,6.9,244825,45.0,1299.0,153.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
2001,90,5.9,38264,22.0,209.0,97.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,125,7.5,42526,45.0,359.0,99.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,103,5.4,1110,39.0,29.0,26.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,99,6.5,35270,45.0,88.0,57.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,131,5.9,32547,36.0,218.0,102.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
2001,87,7.9,22474,70.0,74.0,77.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2001,92,6.3,307,46.0,23.0,11.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,91,6.7,6797,75.0,88.0,71.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,112,6.3,1300,75.0,21.0,34.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,111,7.0,81502,69.0,529.0,149.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,100,6.4,53110,58.0,566.0,152.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2001,84,7.0,16401,72.0,102.0,70.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,91,7.1,2966,51.0,53.0,41.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2001,98,6.8,1015,78.0,16.0,28.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,90,6.2,108760,49.0,1028.0,204.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2001,109,6.1,27528,66.0,215.0,70.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,119,6.8,1313,62.0,72.0,12.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2001,89,6.3,2215,34.0,27.0,10.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,81,5.3,13292,31.0,133.0,33.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,172,7.5,6198,91.0,107.0,76.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,104,4.0,2575,35.0,110.0,21.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2001,107,6.9,4353,67.0,41.0,45.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,93,6.8,911,48.0,2.0,22.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,97,6.6,53402,42.0,330.0,81.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,124,6.8,52538,71.0,574.0,145.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2001,104,6.4,2360,42.0,44.0,24.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,142,7.0,61834,57.0,513.0,205.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,105,7.6,6700,73.0,42.0,62.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,95,6.5,10331,77.0,89.0,126.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,97,6.7,219944,66.0,590.0,99.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,97,5.6,528,49.0,13.0,22.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,87,5.9,87736,25.0,302.0,108.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2001,100,7.5,1706,68.0,18.0,30.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2001,113,7.3,73136,68.0,263.0,253.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2001,127,6.6,2140,41.0,40.0,19.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2001,84,5.6,29730,41.0,187.0,47.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2002,113,6.1,8401,46.0,188.0,50.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2002,92,6.7,40311,48.0,201.0,148.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2002,93,5.2,302,37.0,4.0,13.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,117,7.3,32637,85.0,130.0,107.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,92,6.4,821,63.0,12.0,29.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,94,7.4,27104,80.0,254.0,58.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
